date,cases
01/01/2008,26273
01/02/2008,36593
01/03/2008,53824
01/04/2008,54
01/05/2008,75460
01/06/2008,63057
01/07/2008,76283
01/08/2008,65847
01/09/2008,57208
01/10/2008,70011
01/11/2008,47576
01/12/2008,64940
01/01/2009,36635
01/02/2009,15757
01/03/2009,27700
01/04/2009,36211
01/05/2009,28733
01/06/2009,35362
01/07/2009,62105
01/08/2009,48106
01/09/2009,47174
01/10/2009,57834
01/11/2009,49022
01/12/2009,46605
01/01/2010,40668
01/02/2010,26089
01/03/2010,61023
01/04/2010,49157
01/05/2010,51237
01/06/2010,68520
01/07/2010,57352
01/08/2010,53292
01/09/2010,69730
01/10/2010,52754
01/11/2010,53097
01/12/2010,68343
01/01/2011,39548
01/02/2011,47192
01/03/2011,73798
01/04/2011,57785
01/05/2011,58370
01/06/2011,75761
01/07/2011,54984
01/08/2011,82978
01/09/2011,64814
01/10/2011,69598
01/11/2011,77785
01/12/2011,73737
01/01/2012,52469
01/02/2012,30099
01/03/2012,69430
01/04/2012,24294
01/05/2012,36303
01/06/2012,40163
01/07/2012,48027
01/08/2012,5
01/09/2012,4
01/10/2012,3
01/11/2012,60941
01/12/2012,31142
01/01/2013,20732
01/02/2013,19073
01/03/2013,29044
01/04/2013,26664
01/05/2013,53477
01/06/2013,49298
01/07/2013,48484
01/08/2013,67228
01/09/2013,52350
01/10/2013,24240
01/11/2013,16176
01/12/2013,20983
01/01/2014,10941
01/02/2014,14904
01/03/2014,15777
01/04/2014,21949
01/05/2014,23756
01/06/2014,18432
01/07/2014,21584
01/08/2014,17660
01/09/2014,30601
01/10/2014,57225
01/11/2014,48208
01/12/2014,57023
01/01/2015,40694
01/02/2015,29862
01/03/2015,43502
01/04/2015,43690
01/05/2015,53145
01/06/2015,43919
01/07/2015,53150
01/08/2015,40222
01/09/2015,55859
01/10/2015,42595
01/11/2015,44061
01/12/2015,46548
01/01/2016,7045
01/02/2016,6842
01/03/2016,11822
01/04/2016,7648
01/05/2016,8214
01/06/2016,9873
01/07/2016,6476
01/08/2016,11823
01/09/2016,46165
01/10/2016,44399
01/11/2016,34381
01/12/2016,29738
01/01/2017,2273
01/02/2017,2385
01/03/2017,3739
01/04/2017,3364
01/05/2017,3380
01/06/2017,118760
